feature	g__Streptococcus	g__Lautropia	g__Fusobacterium	g__Neisseria	g__Leptotrichia	g__Prevotella	g__Capnocytophaga	g__Veillonella	g__Treponema	g__Bacteroidales_.G.2.	g__Haemophilus	g__Abiotrophia	g__Parvimonas	g__Peptostreptococcus	g__Lactobacillus	g__Gemella	g__Porphyromonas	g__Selenomonas	g__Tannerella	g__Campylobacter	g__Dialister	g__Flavitalea	g__Clostridiales_.F.3..G.1.	g__Solobacterium	g__Saccharibacteria_.TM7._.G.1.	g__Cardiobacterium	g__Alloprevotella	g__Granulicatella	g__Lacticaseibacillus	g__Fretibacterium	g__Peptidiphaga	g__Actinomyces	g__Aggregatibacter	g__Catonella	g__Oribacterium	g__Ruminococcaceae_.G.1.	g__Rothia	g__Lancefieldella	g__Bacteroidetes_.G.5.	g__Kingella	g__Olsenella	g__Riemerella	g__Megasphaera	g__Lachnoanaerobaculum	g__Pseudoleptotrichia	g__Corynebacterium	g__Mycoplasma	g__Saccharibacteria_.TM7._.G.3.	g__Stomatobaculum	g__Peptococcus	g__Bacteroidetes_.G.3.	g__Bifidobacterium	g__Peptostreptococcaceae_.G.7.	g__Saccharibacteria_.TM7._.G.6.	g__Limosilactobacillus	g__Cryptobacterium	g__Arachnia	g__Peptostreptococcaceae_.G.1.	g__Veillonellaceae_.G.1.	g__Gracilibacteria_.GN02._.G.1.	g__Schaalia	g__Eikenella	g__Afipia	g__Scardovia	g__Lachnospiraceae_.G.3.	g__Johnsonella	g__Peptostreptococcaceae_.G.9.	g__Absconditabacteria_.SR1._.G.1.	g__Acidipropionibacterium	g__Weeksellaceae_.G.1.	g__Peptostreptococcaceae_.G.4.	g__Mogibacterium	g__Slackia	g__Lachnospiraceae_.G.2.
89-P	6181	141	636	3010	1533	252	2020	632	18	0	691	365	36	122	0	263	1402	0	0	73	0	12	0	38	0	626	0	146	0	0	4	504	284	85	54	0	979	0	34	284	0	44	0	0	0	995	0	0	0	0	0	0	0	0	21	0	56	0	0	0	14	13	0	0	0	15	0	0	0	0	0	0	0	0
71-P	5710	73	3363	3172	1750	3425	390	1397	3	17	1066	222	1259	1738	0	1639	863	255	84	157	12	0	0	168	116	203	340	849	4	0	0	477	115	495	176	77	250	100	0	493	4	41	0	152	60	219	0	0	276	19	0	51	16	0	58	159	14	201	0	15	92	75	0	0	14	9	0	12	0	109	0	54	0	0
81-A	3913	0	3278	434	5535	4468	614	1535	0	0	162	0	10	0	0	119	362	743	1374	1358	5	0	0	9	101	0	186	91	0	0	0	149	49	4	25	12	139	0	0	70	10	0	26	827	122	226	0	15	94	0	0	6	0	0	0	0	0	0	0	0	309	28	0	0	0	0	0	0	0	30	0	0	0	0
73-P	4859	1949	3543	5063	4262	2140	2953	1097	143	577	1552	964	0	13	0	1057	887	1726	1161	790	0	3	0	0	1239	630	430	442	0	0	632	1034	727	180	9	39	112	0	0	264	0	107	0	1045	14	956	0	10	0	76	0	0	90	0	0	0	91	0	0	43	126	84	0	0	340	61	0	190	0	41	0	0	0	0
94-A	717	0	4148	0	0	4552	0	0	718	0	0	0	924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	974	0	0	0	0	0	0	0	0	0	1329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0
82-A	4427	0	2161	15	154	4473	168	708	297	0	507	0	1315	1269	0	215	1870	758	63	403	422	0	0	137	40	0	1938	494	0	728	115	85	99	98	29	0	0	0	0	0	69	0	0	0	0	61	970	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	81	0	0	0	0	0	0	0	101	73	0	0
97-A	493	0	3153	48	245	3945	115	0	1419	314	0	52	135	663	0	0	2189	352	369	844	2199	0	0	390	661	0	73	0	0	121	0	66	172	146	189	0	0	87	741	0	328	0	0	35	0	66	0	0	0	56	0	0	159	0	0	0	0	0	333	0	0	0	0	0	0	0	0	0	0	0	34	20	0	0
90-A	514	242	3927	1168	790	2331	772	325	1847	57	44	31	101	224	16	69	628	1176	585	417	542	0	0	69	229	143	411	17	0	215	8	208	109	48	291	6	55	27	532	210	0	62	45	223	56	378	7	387	95	187	93	0	182	0	20	0	43	95	77	6	15	46	0	0	86	17	78	27	8	0	5	0	7	0
91-A	2182	36	3518	292	1267	2123	1448	363	41	0	184	0	170	0	0	296	528	175	665	959	98	0	0	0	213	478	178	72	0	0	260	128	325	10	191	90	59	0	50	414	4	14	32	202	212	487	0	0	22	202	0	0	79	79	0	0	58	0	23	41	23	37	0	0	163	0	41	221	0	0	0	0	0	0
78-P	2342	62	3125	898	3444	2681	1475	713	25	62	1484	11	13	31	0	175	718	372	625	1264	0	0	0	2	515	220	625	117	0	0	12	759	233	11	17	0	30	0	4	537	0	162	10	857	51	376	0	88	0	10	0	0	87	0	0	0	93	0	0	0	132	210	0	0	235	0	5	0	0	205	0	0	0	0
96-A	1121	318	2644	571	678	3318	439	1038	78	78	25	108	23	0	124	0	492	640	248	345	816	0	0	74	0	544	47	49	28	0	40	267	0	0	80	0	32	189	0	29	125	29	59	0	140	242	0	0	0	0	0	0	153	0	0	193	46	0	0	0	41	74	25	39	53	0	0	0	46	0	0	27	0	0
77-P	1901	0	3012	296	1548	2922	1618	576	155	108	511	0	32	4	0	63	411	900	300	829	11	0	0	0	83	181	147	7	3	0	1074	467	231	31	101	4	257	0	0	715	15	103	95	187	142	173	0	0	75	0	0	19	0	8	0	0	54	0	7	0	14	10	0	0	40	0	25	27	0	63	0	0	0	0
91-P	1638	284	1227	141	2777	1089	792	807	0	132	86	56	89	12	0	321	225	757	316	193	0	46	18	0	1319	193	97	119	0	0	0	171	431	0	0	372	118	0	0	236	0	0	0	92	47	426	0	0	0	0	0	0	0	47	0	0	98	0	0	0	13	49	0	0	92	0	0	43	0	0	0	0	0	16
73-A	2332	43	2546	2397	179	2516	553	456	257	0	321	195	27	110	62	93	245	340	0	624	62	0	0	0	180	119	183	347	414	0	0	0	235	11	1124	13	133	19	0	44	226	0	0	35	88	77	0	0	34	0	9	56	28	0	91	0	0	12	89	0	103	61	19	252	0	124	21	47	216	0	0	8	0	0
90-P	2100	349	1028	2117	869	481	625	796	53	0	1167	476	38	0	0	537	769	274	38	194	4	0	0	0	179	55	709	778	0	0	34	103	48	20	0	12	271	0	0	245	17	135	0	72	49	133	0	20	6	13	0	0	16	56	0	0	32	0	0	16	11	15	0	0	31	0	0	30	0	58	0	0	0	7
76-A	110	0	1134	0	56	268	27	45	0	0	0	0	71	0	0	0	5	0	0	23	38	0	8	0	0	13	0	0	0	0	7	33	0	0	23	0	0	10	0	0	20	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	25	0	0	0	0	0	0	0
89-A	587	0	169	0	0	656	21	407	255	0	0	0	53	85	318	0	105	92	0	0	57	0	90	51	0	0	0	0	1017	0	0	0	0	27	0	0	36	26	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0	31	68	0	0	0	0	0	0	0	0	0	0	0
81-P	56	9	963	5	120	80	169	49	0	0	18	0	14	0	0	9	0	0	0	31	0	0	0	0	22	0	0	3	0	0	0	16	0	3	0	0	72	0	0	0	13	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
78-A	202	0	435	215	48	788	76	62	89	93	387	0	0	33	0	14	114	22	65	63	2	0	0	0	59	32	0	5	0	0	0	2	41	24	0	0	0	0	0	0	0	0	0	18	20	0	0	0	0	16	0	0	6	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
76-P	535	610	657	205	235	270	253	76	0	0	278	61	19	5	0	0	84	35	0	16	4	0	0	0	65	12	0	22	7	0	0	260	0	0	0	6	75	8	0	59	0	55	0	17	0	75	0	0	0	0	0	0	4	0	0	0	5	0	0	0	54	0	0	25	0	0	16	23	0	0	0	0	0	0
77-A	0	0	181	0	0	76	14	0	121	56	0	0	15	0	0	0	72	0	152	0	0	0	0	0	0	0	221	0	0	18	0	0	0	0	0	0	0	0	277	0	0	0	0	0	0	0	7	0	0	0	46	0	0	0	0	0	0	21	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0
80-P	206	108	165	265	126	118	10	23	0	0	191	0	0	0	0	4	230	0	0	11	0	0	0	0	0	39	33	0	0	0	176	0	18	0	11	0	147	0	0	54	0	0	0	6	9	70	0	0	0	0	0	0	3	26	0	0	4	0	0	3	8	0	0	0	17	0	0	26	0	0	0	0	0	0
